name,building,capacity
Lab 52F,Psychology Building,16
Studio A-13,Medical Research Building,33
1-06,Law School,38
Lecture Hall 237,Health Sciences Center,126
Lab 49,Science Hall,26
Lab 49J,Art & Design Studios,20
Seminar 109,Computer Science Building,21
Lecture Hall 180,Data Science Institute,137
1-02,Computer Science Building,25
Lecture Hall 79,Mathematics Tower,141
Seminar 442,Physics Pavilion,11
Lab 60J,Law School,17
6-08,Medical Research Building,42
Lab 14,Biology Annex,21
4-26,Law School,40
Lecture Hall 125,Mathematics Tower,106
5-08,Library West,43
Lecture Hall 178,Law School,216
3-05,Health Sciences Center,34
Lecture Hall 216,Art & Design Studios,290
Lecture Hall 222,Athletics Complex,172
Lecture Hall 223,Education Hall,125
3-35,Innovation Hub,42
Seminar 323,Athletics Complex,23
Lab 42,Law School,20
Lab 60V,Education Hall,22
Seminar 535,Engineering Center,15
Seminar 208,Biology Annex,15
Lab 36W,Humanities Hall,29
Studio G-3,Engineering Center,22
Seminar 384,Health Sciences Center,22
Seminar 430,Business Center,21
Seminar 505,Athletics Complex,10
Lab 29,Computer Science Building,21
Lab 61U,Law School,25
Lab 46R,Data Science Institute,21
Lab 16G,Humanities Hall,15
Lecture Hall 99,Data Science Institute,135
Lab 76T,Athletics Complex,15
Lab 30,Mathematics Tower,21
Studio E-9,Engineering Center,16
Studio K-5,Science Hall,35
Lecture Hall 7,Athletics Complex,226
Seminar 345,Library West,17
Lecture Hall 27,Art & Design Studios,144
Lecture Hall 34,Athletics Complex,182
Lecture Hall 296,Athletics Complex,241
Lecture Hall 77,Science Hall,287
Lab 11,Law School,29
5-15,Health Sciences Center,42
Seminar 330,Innovation Hub,24
Lab 76Q,Education Hall,30
Lecture Hall 51,Medical Research Building,275
2-17,Mathematics Tower,39
Lecture Hall 123,Computer Science Building,124
Lecture Hall 81,Data Science Institute,80
Seminar 452,Health Sciences Center,19
Lab 5H,Athletics Complex,21
Lecture Hall 120,Education Hall,147
2-28,Law School,21
Lab 20,Data Science Institute,14
Lecture Hall 158,Science Hall,232
Lab 57D,Law School,21
Lab 65U,Psychology Building,26
1-28,Computer Science Building,41
3-02,Art & Design Studios,20
5-02,Business Center,42
1-12,Humanities Hall,33
4-18,Innovation Hub,23
Seminar 425,Law School,23
Lecture Hall 241,Athletics Complex,169
Lab 42,Health Sciences Center,17
Seminar 455,Art & Design Studios,17
4-03,Library West,32
Lab 33,Computer Science Building,24
Lecture Hall 278,Innovation Hub,198
Lecture Hall 97,Health Sciences Center,212
4-29,Music & Performing Arts,42
Lab 35,Science Hall,21
Seminar 162,Education Hall,10
Lab 21,Medical Research Building,29
Lecture Hall 116,Health Sciences Center,295
Seminar 584,Chemistry Complex,11
Seminar 577,Physics Pavilion,21
Studio J-14,Library West,30
Lab 59,Athletics Complex,24
5-09,Mathematics Tower,45
Lab 54M,Computer Science Building,12
Lab 76V,Library West,16
Studio S-12,Education Hall,25
Studio P-15,Data Science Institute,25
Lab 74,Mathematics Tower,25
Lab 61P,Science Hall,16
Lecture Hall 65,Athletics Complex,208
Lab 13,Law School,28
Lecture Hall 74,Education Hall,184
Lecture Hall 241,Physics Pavilion,280
Lab 80,Humanities Hall,22
Seminar 588,Data Science Institute,15
Studio B-20,Athletics Complex,17
6-19,Business Center,25
Seminar 150,Computer Science Building,22
Seminar 185,Chemistry Complex,21
Lecture Hall 24,Library West,163
Lab 46N,Science Hall,16
Studio Q-19,Business Center,20
Lecture Hall 41,Biology Annex,236
6-16,Psychology Building,33
Lecture Hall 119,Law School,198
Seminar 230,Humanities Hall,20
Seminar 561,Engineering Center,14
Lecture Hall 38,Data Science Institute,193
3-28,Music & Performing Arts,40
Seminar 532,Humanities Hall,14
Seminar 536,Mathematics Tower,17
Lab 49V,Chemistry Complex,30
Lab 3Z,Library West,20
6-04,Engineering Center,37
Lab 30W,Athletics Complex,19
3-09,Mathematics Tower,38
6-03,Chemistry Complex,27
Lecture Hall 297,Education Hall,173
Lecture Hall 152,Physics Pavilion,163
Lecture Hall 103,Health Sciences Center,113
Lab 68T,Data Science Institute,17
Seminar 595,Humanities Hall,22
Lab 15,Library West,16
6-26,Business Center,45
Lab 12,Data Science Institute,20
Lecture Hall 233,Data Science Institute,174
4-24,Humanities Hall,21
Seminar 112,Business Center,19
4-20,Data Science Institute,38
Lecture Hall 72,Health Sciences Center,91
Lab 64,Science Hall,19
Lecture Hall 199,Data Science Institute,196
6-35,Music & Performing Arts,31
Lecture Hall 213,Law School,247
Seminar 415,Chemistry Complex,16
Lecture Hall 190,Humanities Hall,135
Seminar 586,Education Hall,13
Lecture Hall 189,Music & Performing Arts,219
Lecture Hall 204,Music & Performing Arts,150
Lecture Hall 233,Mathematics Tower,103
6-02,Mathematics Tower,19
Lab 17,Art & Design Studios,14
Lab 76,Data Science Institute,22
1-18,Physics Pavilion,45
Lecture Hall 277,Physics Pavilion,144
Lecture Hall 14,Biology Annex,113
Lab 31V,Engineering Center,12
Lab 7E,Biology Annex,28
Lecture Hall 244,Chemistry Complex,194
Studio V-4,Music & Performing Arts,29
Lab 79B,Innovation Hub,26
Lecture Hall 246,Engineering Center,296
Seminar 451,Psychology Building,11
Seminar 137,Athletics Complex,24
Lab 78,Computer Science Building,16
6-21,Humanities Hall,30
Studio K-15,Medical Research Building,31
Seminar 150,Medical Research Building,22
6-14,Chemistry Complex,31
Lab 53M,Education Hall,24
Lecture Hall 161,Health Sciences Center,189
3-24,Art & Design Studios,22
Lecture Hall 47,Athletics Complex,292
Lecture Hall 222,Computer Science Building,104
Lecture Hall 285,Music & Performing Arts,95
Studio U-11,Law School,18
Lab 55B,Health Sciences Center,21
Lecture Hall 296,Music & Performing Arts,209
Lecture Hall 247,Mathematics Tower,137
Lab 72,Chemistry Complex,20
Lab 55,Law School,20
Lecture Hall 140,Engineering Center,259
Lab 45,Library West,16
4-05,Law School,22
Lecture Hall 272,Engineering Center,135
Seminar 332,Psychology Building,15
Lab 40,Biology Annex,13
Lecture Hall 26,Physics Pavilion,252
Lab 57Z,Computer Science Building,27
Seminar 312,Medical Research Building,14
Studio D-12,Mathematics Tower,28
Lab 76S,Chemistry Complex,13
Seminar 406,Business Center,10
Lab 39,Engineering Center,20
Lab 16A,Library West,25
Lecture Hall 195,Biology Annex,216
Studio U-12,Business Center,17
Lecture Hall 224,Psychology Building,84
Lecture Hall 161,Education Hall,227
4-27,Health Sciences Center,27
Seminar 110,Chemistry Complex,15
4-24,Biology Annex,20
Lecture Hall 125,Health Sciences Center,191
Seminar 368,Law School,11
Lab 44H,Psychology Building,17
Studio X-4,Computer Science Building,31
Lab 45,Innovation Hub,19
Lecture Hall 132,Chemistry Complex,130
2-05,Biology Annex,23
Seminar 486,Athletics Complex,19
Seminar 448,Law School,24
6-21,Law School,45
Lecture Hall 226,Art & Design Studios,97
Seminar 423,Athletics Complex,14
1-23,Humanities Hall,34
Lab 60,Computer Science Building,13
Lab 10,Music & Performing Arts,28
Seminar 397,Psychology Building,18
Seminar 565,Science Hall,22
2-21,Law School,37
Studio E-2,Athletics Complex,29
Lab 11,Chemistry Complex,13
Seminar 324,Business Center,18
2-24,Innovation Hub,29
Seminar 309,Library West,22
5-04,Art & Design Studios,43
Lecture Hall 169,Art & Design Studios,104
4-19,Data Science Institute,26
Lecture Hall 171,Medical Research Building,100
2-23,Law School,27
Lecture Hall 44,Psychology Building,159
Seminar 429,Data Science Institute,22
Lecture Hall 270,Art & Design Studios,103
Studio N-1,Health Sciences Center,26
Lecture Hall 110,Library West,167
Lab 29,Athletics Complex,14
Lecture Hall 260,Library West,277
Studio B-11,Data Science Institute,34
4-10,Physics Pavilion,23
2-29,Biology Annex,19
Lab 31R,Health Sciences Center,26
Studio H-10,Business Center,30
Lab 74R,Mathematics Tower,21
Studio T-14,Psychology Building,20
Lab 71,Mathematics Tower,21
Lecture Hall 140,Computer Science Building,195
Lecture Hall 224,Innovation Hub,103
Seminar 552,Business Center,15
Seminar 127,Engineering Center,16
Lab 31,Innovation Hub,23
Lecture Hall 164,Business Center,105
Lecture Hall 71,Art & Design Studios,89
Seminar 456,Library West,23
Seminar 329,Physics Pavilion,19
Lecture Hall 10,Engineering Center,145
Lecture Hall 281,Mathematics Tower,266
Studio Q-4,Medical Research Building,24
Lab 16,Business Center,25
Seminar 132,Medical Research Building,11
5-02,Athletics Complex,38
2-10,Innovation Hub,27
Lecture Hall 181,Health Sciences Center,141
Seminar 195,Law School,20
Studio N-3,Computer Science Building,31
Studio T-18,Data Science Institute,15
Seminar 122,Psychology Building,20
Lab 33A,Psychology Building,14
Lab 14V,Music & Performing Arts,16
Lab 70,Science Hall,26
2-09,Athletics Complex,20
Lecture Hall 151,Education Hall,131
Lab 6M,Science Hall,28
Studio S-9,Psychology Building,16
Lab 46B,Mathematics Tower,20
Lab 56P,Chemistry Complex,24
Lecture Hall 255,Art & Design Studios,257
Lab 67,Athletics Complex,25
Seminar 408,Computer Science Building,23
Studio K-11,Biology Annex,18
Lab 38K,Computer Science Building,25
Seminar 279,Biology Annex,17
Lab 79Q,Science Hall,13
6-26,Computer Science Building,29
2-02,Innovation Hub,22
4-03,Medical Research Building,22
Lab 47N,Computer Science Building,30
2-29,Science Hall,29
Seminar 490,Music & Performing Arts,11
Lecture Hall 272,Law School,173
Lab 36,Psychology Building,12
Seminar 365,Biology Annex,16
Lecture Hall 135,Data Science Institute,278
Seminar 209,Humanities Hall,19
Seminar 202,Library West,11
Lecture Hall 232,Physics Pavilion,124
Lecture Hall 164,Education Hall,250
Lecture Hall 282,Music & Performing Arts,218
Lab 21,Library West,23
Lab 16,Innovation Hub,19
Lecture Hall 185,Athletics Complex,221
Lab 60,Law School,14
Lab 51S,Computer Science Building,25
Lecture Hall 65,Law School,161
Seminar 338,Computer Science Building,20
Lab 17,Innovation Hub,16
Studio B-4,Health Sciences Center,31
Lab 22F,Physics Pavilion,19
Studio K-3,Music & Performing Arts,23
5-18,Mathematics Tower,22
5-06,Library West,34
5-10,Biology Annex,23
3-03,Medical Research Building,44
Lecture Hall 24,Engineering Center,244
Lab 27V,Law School,12
5-19,Athletics Complex,38
Seminar 225,Library West,22
Lab 59,Psychology Building,17
Seminar 347,Education Hall,17
Lab 78E,Mathematics Tower,22
Seminar 166,Music & Performing Arts,22
Studio U-4,Music & Performing Arts,25
Seminar 162,Business Center,14
Lab 19,Education Hall,21
4-16,Psychology Building,45
Lab 74,Biology Annex,17
Studio R-16,Athletics Complex,24
Seminar 358,Athletics Complex,17
Lab 75,Business Center,13
Seminar 405,Library West,24
Lab 69,Athletics Complex,25
Lab 47P,Physics Pavilion,13
Lecture Hall 292,Psychology Building,223
Seminar 358,Mathematics Tower,17
Lecture Hall 50,Data Science Institute,180
Lab 72,Music & Performing Arts,18
Studio P-17,Medical Research Building,16
Lecture Hall 71,Science Hall,262
Seminar 365,Art & Design Studios,17
5-09,Physics Pavilion,28
Lab 21P,Medical Research Building,30
Studio T-18,Art & Design Studios,30
Lab 61A,Law School,22
Seminar 398,Chemistry Complex,14
4-17,Engineering Center,38
2-04,Law School,36
Lecture Hall 269,Athletics Complex,241
Seminar 175,Medical Research Building,23
Lecture Hall 294,Business Center,259
Lab 3R,Chemistry Complex,25
Seminar 453,Physics Pavilion,13
Studio W-16,Health Sciences Center,16
Studio G-18,Physics Pavilion,25
Studio P-11,Athletics Complex,20
Studio M-18,Education Hall,26
4-13,Humanities Hall,25
Studio K-8,Humanities Hall,24
Lab 63M,Library West,23
Lab 37D,Data Science Institute,24
Lecture Hall 149,Music & Performing Arts,90
Lecture Hall 178,Library West,193
Lab 69J,Humanities Hall,16
6-16,Chemistry Complex,25
5-15,Science Hall,38
Lecture Hall 52,Business Center,185
Seminar 151,Art & Design Studios,20
Lecture Hall 282,Physics Pavilion,120
4-31,Health Sciences Center,38
Lab 42,Mathematics Tower,14
Lab 69,Law School,25
Lecture Hall 204,Biology Annex,281
Lecture Hall 149,Athletics Complex,89
Lab 73,Engineering Center,22
Seminar 428,Library West,18
Seminar 555,Innovation Hub,12
Seminar 239,Innovation Hub,13
Lab 21R,Chemistry Complex,17
Lab 38,Engineering Center,17
4-28,Medical Research Building,34
Lecture Hall 206,Art & Design Studios,251
Lecture Hall 72,Chemistry Complex,202
Lab 1J,Art & Design Studios,19
Lab 43,Education Hall,20
Lab 8,Music & Performing Arts,26
Lecture Hall 208,Library West,255
Lab 16X,Innovation Hub,23
Lab 29E,Medical Research Building,16
3-27,Education Hall,40
Seminar 487,Data Science Institute,18
Lab 77C,Mathematics Tower,28
Lecture Hall 289,Music & Performing Arts,108
Studio T-7,Science Hall,33
Lecture Hall 85,Data Science Institute,163
Seminar 159,Innovation Hub,20
4-06,Mathematics Tower,34
Lecture Hall 233,Education Hall,113
Seminar 333,Innovation Hub,19
Studio R-10,Science Hall,15
Lab 1,Psychology Building,13
Lab 9,Health Sciences Center,14
Lecture Hall 147,Athletics Complex,184
Lecture Hall 216,Biology Annex,175
Seminar 545,Psychology Building,24
Seminar 141,Psychology Building,20
Lecture Hall 179,Data Science Institute,110
Studio P-17,Biology Annex,19
Lecture Hall 12,Business Center,156
6-35,Education Hall,31
Seminar 521,Data Science Institute,13
Seminar 277,Business Center,12
Lab 15B,Humanities Hall,12
Lab 9,Business Center,26
6-04,Medical Research Building,25
Seminar 324,Science Hall,13
Lab 8E,Data Science Institute,19
Lab 74W,Law School,19
Lecture Hall 267,Library West,136
Lab 36,Health Sciences Center,25
Seminar 124,Data Science Institute,15
Studio M-14,Psychology Building,28
Lab 49F,Physics Pavilion,19
Lab 19,Business Center,29
Seminar 385,Health Sciences Center,18
Seminar 224,Physics Pavilion,14
Lab 11R,Mathematics Tower,14
Lab 7J,Data Science Institute,13
Lab 76,Computer Science Building,27
Lab 39,Mathematics Tower,18
Seminar 568,Chemistry Complex,13
Lab 51H,Medical Research Building,21
Seminar 373,Psychology Building,20
Lab 34N,Music & Performing Arts,26
Seminar 489,Chemistry Complex,23
Lab 48M,Art & Design Studios,13
Lab 19A,Law School,29
6-27,Law School,27
Lab 43H,Physics Pavilion,30
Seminar 381,Business Center,20
Lab 63X,Art & Design Studios,26
Lab 22E,Biology Annex,17
1-34,Data Science Institute,19
1-01,Computer Science Building,31
2-05,Physics Pavilion,40
Lecture Hall 112,Physics Pavilion,209
Lab 8W,Education Hall,27
Lecture Hall 273,Engineering Center,221
Lecture Hall 9,Health Sciences Center,215
Studio K-1,Humanities Hall,31
Lecture Hall 55,Health Sciences Center,104
Lecture Hall 124,Innovation Hub,129
Studio J-12,Medical Research Building,23
Lecture Hall 192,Psychology Building,183
2-15,Education Hall,27
6-03,Computer Science Building,20
Seminar 293,Psychology Building,18
Lecture Hall 5,Athletics Complex,259
Lecture Hall 256,Biology Annex,296
3-07,Health Sciences Center,34
Lab 28V,Science Hall,20
Lecture Hall 144,Science Hall,219
1-12,Law School,45
Lecture Hall 107,Art & Design Studios,230
Seminar 575,Physics Pavilion,11
Lecture Hall 289,Library West,141
Seminar 446,Law School,24
Lab 50,Data Science Institute,28
Lecture Hall 51,Music & Performing Arts,191
Lecture Hall 175,Business Center,234
4-21,Medical Research Building,18
Seminar 351,Humanities Hall,13
Studio P-14,Music & Performing Arts,20
4-06,Law School,42
Lab 32,Medical Research Building,20
Seminar 464,Physics Pavilion,22
Seminar 262,Physics Pavilion,15
Lecture Hall 3,Chemistry Complex,158
Lab 35,Education Hall,14
Seminar 329,Biology Annex,18
Studio Q-4,Data Science Institute,15
Lab 71C,Computer Science Building,24
Lab 53,Engineering Center,29
5-11,Business Center,39
Lecture Hall 72,Psychology Building,148
Lab 64,Library West,17
Lab 54K,Health Sciences Center,14
Lab 32X,Music & Performing Arts,18
Lecture Hall 70,Education Hall,157
Seminar 270,Engineering Center,23
Seminar 511,Medical Research Building,23
Seminar 271,Art & Design Studios,16
Lecture Hall 154,Medical Research Building,162
Lab 62,Medical Research Building,24
Lab 63,Art & Design Studios,22
Lab 51,Psychology Building,30
5-12,Mathematics Tower,39
Lecture Hall 237,Data Science Institute,261
Seminar 508,Mathematics Tower,14
Seminar 444,Computer Science Building,17
3-16,Physics Pavilion,26
Seminar 504,Physics Pavilion,16
Seminar 406,Computer Science Building,17
Seminar 373,Law School,18
Studio B-12,Health Sciences Center,32
1-07,Medical Research Building,42
6-23,Business Center,23
Lecture Hall 289,Medical Research Building,245
Lab 56,Psychology Building,15
Lab 66,Humanities Hall,26
Seminar 337,Music & Performing Arts,22
Studio E-12,Law School,15
Lecture Hall 152,Athletics Complex,186
Lecture Hall 73,Computer Science Building,169
Lab 59G,Library West,23
Lecture Hall 225,Athletics Complex,264
Lab 9,Education Hall,15
Lab 14,Engineering Center,19
Lecture Hall 283,Innovation Hub,120
Studio Q-15,Art & Design Studios,22
2-12,Psychology Building,38
Seminar 114,Health Sciences Center,21
Lab 58V,Medical Research Building,24
Lab 27,Engineering Center,30
Studio F-12,Chemistry Complex,25
Seminar 158,Mathematics Tower,14
Studio X-11,Athletics Complex,34
4-08,Psychology Building,29
Seminar 416,Music & Performing Arts,12
2-21,Library West,21
Lab 15F,Business Center,16
Seminar 314,Innovation Hub,19
4-28,Physics Pavilion,23
5-12,Athletics Complex,35
Seminar 247,Biology Annex,12
Lab 58,Biology Annex,23
Seminar 169,Engineering Center,13
Studio T-16,Psychology Building,28
Seminar 463,Athletics Complex,23
Seminar 185,Education Hall,11
Lecture Hall 113,Law School,154
Lab 29U,Science Hall,17
6-32,Education Hall,35
Lecture Hall 294,Innovation Hub,109
Studio N-18,Humanities Hall,16
Studio G-14,Education Hall,18
Lab 5R,Business Center,23
Seminar 543,Computer Science Building,11
Lab 76N,Business Center,17
Lecture Hall 106,Medical Research Building,288
Lecture Hall 292,Mathematics Tower,169
Lab 77,Data Science Institute,22
Lab 74,Library West,16
Lecture Hall 142,Health Sciences Center,247
Lecture Hall 128,Physics Pavilion,117
Lab 51,Art & Design Studios,30
4-25,Humanities Hall,32
1-26,Computer Science Building,34
Lab 59S,Humanities Hall,30
Lecture Hall 235,Engineering Center,242
Lecture Hall 274,Music & Performing Arts,181
Seminar 522,Mathematics Tower,13
Lab 42K,Athletics Complex,29
Lecture Hall 290,Law School,298
Lab 7,Athletics Complex,26
Lecture Hall 81,Engineering Center,192
Lecture Hall 220,Education Hall,131
3-11,Physics Pavilion,45
Lecture Hall 185,Humanities Hall,144
Lab 22B,Computer Science Building,21
Seminar 435,Business Center,11
Lecture Hall 110,Chemistry Complex,202
Lecture Hall 116,Computer Science Building,212
Lecture Hall 5,Education Hall,258
Lecture Hall 217,Art & Design Studios,257
Seminar 136,Physics Pavilion,13
Lecture Hall 53,Psychology Building,106
Lab 39E,Art & Design Studios,16
Lecture Hall 272,Physics Pavilion,224
6-11,Engineering Center,32
Lab 20Q,Music & Performing Arts,18
Lecture Hall 72,Computer Science Building,272
6-25,Chemistry Complex,29
Lab 18H,Health Sciences Center,14
Studio W-20,Business Center,34
Lecture Hall 155,Library West,132
5-13,Innovation Hub,41
Lab 7H,Psychology Building,24
Lab 64,Chemistry Complex,28
Lab 41E,Engineering Center,30
Lab 70,Health Sciences Center,27
Lecture Hall 35,Computer Science Building,83
Lab 6B,Humanities Hall,28
6-33,Library West,42
Seminar 459,Health Sciences Center,16
5-35,Computer Science Building,37
Lab 11,Physics Pavilion,28
Lecture Hall 275,Mathematics Tower,163
6-05,Psychology Building,27
Lab 8,Health Sciences Center,25
Seminar 413,Chemistry Complex,19
Lab 23,Science Hall,16
Lecture Hall 255,Engineering Center,168
Studio J-6,Innovation Hub,26
Lab 16A,Physics Pavilion,25
Studio C-9,Humanities Hall,33
Seminar 333,Computer Science Building,18
Lecture Hall 256,Music & Performing Arts,299
Lecture Hall 189,Law School,120
Lecture Hall 294,Humanities Hall,252
Lab 66,Chemistry Complex,12
Lecture Hall 242,Business Center,173
Lecture Hall 92,Psychology Building,299
Studio X-14,Science Hall,22
Lab 54M,Art & Design Studios,14
Lab 16,Law School,17
Studio B-13,Business Center,17
Lab 40,Education Hall,29
Lecture Hall 189,Education Hall,131
3-16,Library West,32
4-13,Music & Performing Arts,41
Lab 20A,Data Science Institute,12
Studio N-1,Business Center,25
4-20,Engineering Center,21
Studio H-14,Mathematics Tower,30
Lecture Hall 23,Science Hall,139
Seminar 458,Innovation Hub,24
Seminar 598,Music & Performing Arts,21
1-33,Computer Science Building,22
Lecture Hall 291,Psychology Building,95
2-16,Health Sciences Center,27
Lab 51M,Humanities Hall,26
Lab 10,Humanities Hall,30
Lecture Hall 55,Chemistry Complex,122
Seminar 260,Education Hall,16
Studio N-7,Chemistry Complex,29
Seminar 235,Library West,23
Lecture Hall 81,Chemistry Complex,286
1-14,Library West,44
Lecture Hall 47,Art & Design Studios,262
Lab 51,Business Center,21
Lecture Hall 16,Humanities Hall,183
Studio U-8,Education Hall,18
Lecture Hall 72,Education Hall,111
Lecture Hall 114,Engineering Center,113
Seminar 290,Mathematics Tower,20
5-17,Computer Science Building,44
Lecture Hall 34,Computer Science Building,130
Lecture Hall 48,Education Hall,296
Lecture Hall 22,Art & Design Studios,198
Lecture Hall 294,Science Hall,190
Seminar 115,Psychology Building,16
Lecture Hall 182,Health Sciences Center,134
Lab 36,Biology Annex,13
5-16,Medical Research Building,38
Seminar 310,Library West,24
Seminar 131,Data Science Institute,11
Seminar 170,Humanities Hall,16
5-16,Mathematics Tower,38
Lecture Hall 196,Data Science Institute,280
Seminar 378,Music & Performing Arts,22
Lab 73T,Athletics Complex,24
Lecture Hall 14,Humanities Hall,161
Lab 4,Medical Research Building,27
Lab 75,Innovation Hub,15
2-18,Business Center,35
Lab 74P,Science Hall,17
Lab 76M,Biology Annex,30
2-32,Engineering Center,35
Lecture Hall 252,Library West,89
Lecture Hall 120,Computer Science Building,234
Lecture Hall 270,Business Center,202
Lab 79,Engineering Center,22
Lab 8,Biology Annex,30
Lecture Hall 270,Physics Pavilion,300
Lecture Hall 192,Music & Performing Arts,260
1-22,Psychology Building,27
Lecture Hall 81,Art & Design Studios,267
4-21,Health Sciences Center,23
3-15,Data Science Institute,39
Lecture Hall 194,Law School,158
Lecture Hall 91,Library West,266
4-03,Engineering Center,23
Lab 79,Medical Research Building,27
Lab 10H,Physics Pavilion,22
1-22,Biology Annex,32
Lab 33,Engineering Center,13
Seminar 475,Psychology Building,16
Seminar 352,Biology Annex,24
Lab 70,Psychology Building,27
6-15,Law School,23
Lecture Hall 18,Education Hall,155
Lab 34,Engineering Center,22
Seminar 182,Biology Annex,21
Studio C-11,Computer Science Building,34
Seminar 460,Medical Research Building,10
2-28,Health Sciences Center,23
Lecture Hall 170,Science Hall,132
Seminar 456,Mathematics Tower,18
Lab 37,Data Science Institute,15
Seminar 392,Science Hall,18
Lecture Hall 28,Athletics Complex,172
Seminar 144,Engineering Center,14
Seminar 202,Medical Research Building,11
Lab 22X,Engineering Center,14
Lecture Hall 158,Athletics Complex,280
Seminar 350,Psychology Building,24
Lecture Hall 279,Humanities Hall,179
Lab 49,Biology Annex,26
Lab 57R,Science Hall,19
1-10,Humanities Hall,42
Lecture Hall 177,Chemistry Complex,286
Seminar 597,Data Science Institute,22
Lab 71B,Law School,28
Studio Z-16,Health Sciences Center,33
Seminar 253,Business Center,11
Lecture Hall 258,Psychology Building,226
6-10,Innovation Hub,21
Lecture Hall 86,Education Hall,134
Lecture Hall 22,Mathematics Tower,188
4-13,Computer Science Building,44
